02.01.2007	5
03.02.2007	10
04.02.2007	7
05.01.2007	5
06.01.2007	5
07.01.2007	3
08.01.2007	5
09.01.2007	4
10.01.2007	6
11.01.2007	5
12.01.2007	8
13.01.2007	3
14.01.2007	5
15.01.2007	3
16.01.2007	4
17.01.2007	6
18.01.2007	5
19.01.2007	0
20.01.2007	5
21.01.2007	5
22.01.2007	6
23.01.2007	1
24.01.2007	4
25.01.2007	4
26.01.2007	6
27.01.2007	7
28.01.2007	5
29.01.2007	3
30.01.2007	1
31.01.2007	4
01.02.2007	2
02.02.2007	4
03.02.2007	1
04.02.2007	6
05.02.2007	5
06.02.2007	5
07.02.2007	8
08.02.2007	7
09.02.2007	9
10.02.2007	1
11.02.2007	5
12.02.2007	2
13.02.2007	7
14.02.2007	2
15.02.2007	5
16.02.2007	5
17.02.2007	4
18.02.2007	2
19.02.2007	3
20.02.2007	3
21.02.2007	5
22.02.2007	6
23.02.2007	5
24.02.2007	9
